time,location,observation,disposition
14:14,floor map,one reflection answered late; no disciplinary event is created by lateness alone,non-actionable
02:00,canteen queue,the queue moved while unobserved and returned with one extra place,retained
04:04,intercom,form accepted in damp condition; drying would change the filing date,retained
06:00,vestibule,the queue moved while unobserved and returned with one extra place,retained
06:00,return path,the queue moved while unobserved and returned with one extra place,non-actionable
11:11,archive tray,result withheld because the witness had already gone home in a previous shift,folded
11:11,visitor ledger,handbook clause relocated after citation; use the printed copy facing away from glass,folded
14:14,service door,the queue moved while unobserved and returned with one extra place,non-actionable
11:11,photocopier,badge echo delayed by 2.1 seconds; temporary absence preserved,retained
06:00,lamp housing,the archive declined to distinguish the duplicate from the original,retained
02:00,floor map,return path found but rejected because it arrived before the departure,retained
14:14,locker row,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,folded
11:11,vestibule,all clocks agree with themselves; no statement is made regarding each other,folded
02:00,archive tray,the cup is empty; facing away; and therefore compliant for today,non-actionable
06:00,handrail,return path found but rejected because it arrived before the departure,retained
11:11,handrail,the archive declined to distinguish the duplicate from the original,folded
14:14,intercom,the staircase returned a sample resembling the last thing typed by the operator,non-actionable
06:00,clock face,form accepted in damp condition; drying would change the filing date,non-actionable
06:00,window film,the corridor accepted the request and then changed which side the door was on,folded
11:11,floor map,form accepted in damp condition; drying would change the filing date,retained
