accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-BOX-1179-0108-00,1179,lower-2,118,14,absent,open,"signature repeats"
SW-ARC-WET-1907-0108-01,1907,east-3,181,7,broken inward,drying,"do not compare at night"
SW-ARC-FOL-1666-0108-02,1666,unassigned,96,21,broken inward,drying,"copy arrived first"
SW-ARC-PAL-1907-0108-03,1907,east-3,194,7,reversed,open,"room name absent"
SW-ARC-BOX-1958-0108-04,1958,black-6,214,21,too soft,drying,"signature repeats"
SW-ARC-MGR-1931-0108-05,1931,black-7,68,21,intact,drying,"signature repeats"
SW-ARC-TID-1996-0108-06,1996,returned,110,21,intact,drying,"shelf denied receipt"
SW-ARC-BOX-1324-0108-07,1324,black-6,57,7,intact,waiting,"signature repeats"
SW-ARC-DIP-1541-0108-08,1541,black-6,191,7,broken inward,open,"do not compare at night"
SW-ARC-TID-1931-0108-09,1931,unassigned,128,21,intact,sealed,"do not compare at night"
SW-ARC-WET-1488-0108-10,1488,unassigned,5,14,reversed,sealed,"signature repeats"
SW-ARC-MGR-1822-0108-11,1822,returned,143,0,too soft,open,"copy arrived first"
SW-ARC-ACC-1666-0108-12,1666,black-7,123,44,intact,drying,"copy arrived first"
SW-ARC-VLM-1666-0108-13,1666,black-6,6,21,too soft,waiting,"signature repeats"
SW-ARC-QRY-1869-0108-14,1869,black-7,120,0,absent,waiting,"signature repeats"
SW-ARC-ACC-1714-0108-15,1714,returned,22,14,broken inward,drying,"do not compare at night"
